user_id,age,income,transaction_type,transaction_amount,due_date,payment_made_on_time,credit_score,debt_to_income_ratio,savings
53f9fb6d-e1c7-4836-9d0f-574cc1b8a05c,50,75242.12,Utilities,3453.66,2024-06-29,True,733.32,0.12,41192.93
53f9fb6d-e1c7-4836-9d0f-574cc1b8a05c,50,75242.12,Utilities,1629.88,2024-06-08,False,733.32,0.12,41192.93
53f9fb6d-e1c7-4836-9d0f-574cc1b8a05c,50,75242.12,Travel,860.98,2025-03-13,False,733.32,0.12,41192.93
53f9fb6d-e1c7-4836-9d0f-574cc1b8a05c,50,75242.12,Rent,4671.15,2025-03-17,False,733.32,0.12,41192.93
53f9fb6d-e1c7-4836-9d0f-574cc1b8a05c,50,75242.12,Rent,4459.34,2025-01-04,False,733.32,0.12,41192.93
53f9fb6d-e1c7-4836-9d0f-574cc1b8a05c,50,75242.12,Dining,4311.83,2024-07-28,True,733.32,0.12,41192.93
53f9fb6d-e1c7-4836-9d0f-574cc1b8a05c,50,75242.12,Groceries,3751.55,2024-12-25,False,733.32,0.12,41192.93
53f9fb6d-e1c7-4836-9d0f-574cc1b8a05c,50,75242.12,Dining,2381.98,2024-04-07,True,733.32,0.12,41192.93
53f9fb6d-e1c7-4836-9d0f-574cc1b8a05c,50,75242.12,Utilities,1317.16,2025-02-16,False,733.32,0.12,41192.93
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Dining,3646.48,2024-10-24,False,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Groceries,4585.16,2024-04-24,False,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Travel,85.01,2025-02-21,True,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Rent,902.39,2024-06-15,True,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Groceries,1833.69,2024-12-13,False,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Shopping,2714.15,2024-09-30,False,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Dining,3040.59,2024-12-13,False,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Shopping,4322.27,2024-10-04,False,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Travel,2792.32,2024-03-30,True,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Rent,131.19,2024-11-15,True,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Travel,3002.29,2024-03-21,False,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Groceries,1859.07,2024-09-29,True,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Groceries,2747.92,2024-08-16,True,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Dining,1125.01,2025-01-20,True,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Rent,907.47,2024-11-23,True,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Travel,1876.78,2024-09-01,False,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Rent,1813.97,2024-03-21,False,468.32,0.42,8363.66
d3e6bc80-243a-4697-866e-8599892fe8c8,64,92989.67,Groceries,96.9,2024-07-24,True,468.32,0.42,8363.66
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Utilities,1455.58,2024-09-03,True,836.46,0.26,7262.18
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Groceries,2641.03,2024-09-20,True,836.46,0.26,7262.18
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Rent,2479.48,2025-03-21,False,836.46,0.26,7262.18
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Shopping,46.97,2024-12-27,False,836.46,0.26,7262.18
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Shopping,4888.61,2025-03-02,True,836.46,0.26,7262.18
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Rent,1674.86,2024-04-24,False,836.46,0.26,7262.18
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Groceries,305.63,2025-02-14,True,836.46,0.26,7262.18
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Travel,4217.52,2024-03-29,False,836.46,0.26,7262.18
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Groceries,903.29,2024-04-05,False,836.46,0.26,7262.18
a2c19b86-f01e-41c9-bd8b-5a501331f3f0,36,57094.96,Dining,3406.32,2024-08-18,False,836.46,0.26,7262.18
f19c9f24-217e-4f4c-ace4-b033ce912647,51,129949.4,Dining,1707.55,2024-12-19,True,333.64,0.52,29925.48
f19c9f24-217e-4f4c-ace4-b033ce912647,51,129949.4,Travel,2020.7,2024-08-29,False,333.64,0.52,29925.48
f19c9f24-217e-4f4c-ace4-b033ce912647,51,129949.4,Utilities,4959.33,2025-01-07,True,333.64,0.52,29925.48
f19c9f24-217e-4f4c-ace4-b033ce912647,51,129949.4,Dining,2423.07,2025-01-21,True,333.64,0.52,29925.48
f19c9f24-217e-4f4c-ace4-b033ce912647,51,129949.4,Dining,4369.02,2024-09-04,False,333.64,0.52,29925.48
f19c9f24-217e-4f4c-ace4-b033ce912647,51,129949.4,Utilities,262.56,2025-03-12,False,333.64,0.52,29925.48
